Station,Divisions,x,y,"Attempts or threats to murder, assaults, harassments and related offences",Dangerous or negligent acts,Kidnapping and related offences,"Robbery, extortion and hijacking offences",Burglary and related offences,Theft and related offences,"Fraud, deception and related offences",Controlled drug offences,Weapons and Explosives Offences,Damage to property and to the environment,Public order and other social code offences,"Offences against government, justice procedures and organisation of crime"
Blessington,Wicklow Division,+53.17026520,-6.5337397,306,336,5,25,906,2076,81,361,34,918,631,32
Boherbue,Cork West Division,+52.15897298,-9.06975461,44,59,0,2,56,132,9,31,4,58,95,7
Bonniconlon,Mayo Division,+54.10955200,-9.02895969,36,25,0,0,26,127,9,10,4,31,40,0
Borris,Kilkenny/Carlow Division,+52.60180461,-6.92930908,64,59,1,4,224,242,19,50,5,123,86,5
Borris-In-Ossory,Laois/Offaly Division,+52.93929659,-7.6288093,30,68,1,0,197,220,20,28,3,72,64,2
Borrisokane,Tipperary Division,+52.99711950,-8.12701656,44,75,0,0,152,222,19,36,5,77,171,21
Borrisoleigh,Tipperary Division,+52.75149154,-7.95537178,47,84,2,1,117,167,13,19,9,86,121,4
Bothar Na Tra,Galway Division,+53.25880584,-9.07974503,808,730,3,59,1835,2816,139,686,80,2123,2182,163
Boyle,Roscommon/Longford Division,+53.97336883,-8.30039522,225,165,1,7,296,667,78,116,16,302,499,45
Bray,Wicklow Division,+53.19867836,-6.10059722,1594,1156,5,337,4010,8898,533,2560,462,5130,6516,1503
Bridewell Cork,Cork City Division,+51.90047214,-8.47702317,1444,562,4,176,801,5972,357,1124,245,1569,6929,797
Bridewell Dublin,D.M.R. North Central Division,+53.34707654,-6.27413466,1548,1244,23,870,2803,11408,652,2965,863,6576,6667,39994
Bruff,Limerick Division,+52.47732933,-8.54697557,115,106,0,3,139,341,43,71,6,218,424,37
Bruree,Limerick Division,+52.42316623,-8.6503328,77,45,0,0,95,148,9,17,8,106,83,9
Bunclody,Wexford Division,+52.65675880,-6.66247622,237,174,1,12,658,838,51,43,26,408,342,27
Buncrana,Donegal Division,+55.13126244,-7.45069855,827,727,5,13,259,845,121,316,91,1109,2482,166
Bundoran,Donegal Division,+54.47655260,-8.27933662,357,295,0,10,161,492,37,506,25,367,1762,33
Burnfoot,Donegal Division,+55.05467021,-7.40158328,155,229,3,14,173,619,83,121,31,285,238,36
Buttevant,Cork North Division,+52.22931434,-8.67127988,112,137,0,0,140,286,24,74,16,202,267,18
Cabinteely,D.M.R. Eastern Division,+53.26078999,-6.15065892,659,505,9,221,3146,5245,242,622,123,2383,1736,187
Cabra,D.M.R. Western Division,+53.36498056,-6.30763372,839,651,6,375,1757,6579,323,1439,224,4327,2427,252
Caherciveen,Kerry Division,+51.94696251,-10.2198387,230,150,0,2,82,267,37,71,16,263,643,56
Caherconlish,Limerick Division,+52.59381859,-8.46953701,108,65,1,8,236,478,18,49,10,266,84,43
Cahir,Tipperary Division,+52.37596810,-7.92029139,332,490,4,8,391,745,72,440,109,498,1012,76
Callan,Kilkenny/Carlow Division,+52.54237309,-7.39103598,192,102,0,8,311,486,52,65,12,330,337,17
Campile,Wexford Division,+52.28778444,-6.93962139,62,48,0,1,97,150,10,42,6,88,66,4
Cappamore,Limerick Division,+52.61467285,-8.33848456,81,48,0,7,167,274,8,48,15,192,165,13
Cappawhite,Tipperary Division,+52.58315858,-8.16483899,82,130,1,3,179,318,9,91,22,163,190,6
Cappoquin,Waterford Division,+52.14589036,-7.84572129,85,67,2,5,191,226,8,41,13,176,125,16
Carbury,Kildare Division,+53.33845988,-6.93670421,125,117,1,16,442,777,15,43,36,364,116,20
Carlingford,Louth Division,+54.04122582,-6.18721502,159,79,0,12,297,721,32,23,15,553,289,25
Carlow,Kilkenny/Carlow Division,+52.84052664,-6.92932257,2059,1656,9,238,3231,7976,421,2484,245,4031,6706,770
Carna,Galway Division,+53.32356545,-9.82411971,66,45,1,0,38,95,3,4,5,109,72,5
